Bibox
Binance
Bitbank
Bitcoin Indonesia
BiteBTC
Bitfinex
bitFlyer
Bithumb
Bitpanda
Bitstamp
Bittrex
Bit-Z
BTC Markets
BTC-e / WEX
Cex.io
Coinbase 
CoinEgg 
Coinnest 
coinone 
CoinTiger 
Cryptopia 
DSX 
Ethfinex 
EXMO 
EXX 
Gate.io 
Gdax 
Gemini 
HitBtc 
Huobi 
itBit 
Korbit 
Kraken 
Kucoin 
LakeBTC
Liqui
Livecoin
LocalBitcoins
Okex
Poloniex
QuadrigaCX
Quoine
Tidex
Upbit
Vaultoro
YoBit
